1,2023-04-01,45000,Cambio de aceite,500,1,P1234
2,2023-04-15,65000,Revisión general,800,2,P2345
3,2023-04-10,55000,Alineación,350,3,P3456
4,2023-04-20,75000,Frenos,600,4,P4567
5,2023-04-05,50000,Suspensión,450,5,P5678
6,2023-04-02,60000,Cambio de filtros,550,6,P6789
7,2023-04-16,47000,Revisión eléctrica,700,7,P7890
8,2023-04-11,53000,Balanceo,400,8,P8901
9,2023-04-21,57000,Transmisión,750,9,P9012
10,2023-04-06,49000,Embrague,500,10,P1122
11,2023-04-03,70000,Cambio de correas,850,11,P2233
12,2023-04-17,73000,Revisión completa,900,12,P3344
13,2023-04-12,67000,Sistema de escape,600,13,P4455
14,2023-04-22,63000,Inyección,650,14,P5566
15,2023-04-07,66000,Refrigeración,550,15,P6677
16,2023-04-04,68000,Dirección,700,16,P7788
17,2023-04-18,64000,Sistema de frenos,800,17,P8899
18,2023-04-13,72000,Cambio de bujías,450,18,P9900
19,2023-04-23,74000,Revisión de motor,950,19,P1010
20,2023-04-08,69000,Sistema de aire,600,20,P1212
21,2023-04-05,71000,Cambio de líquidos,500,21,P1313
22,2023-04-19,62000,Revisión de suspensión,750,22,P1414
23,2023-04-14,58000,Alineación y balanceo,400,23,P1515
24,2023-04-24,76000,Cambio de amortiguadores,850,24,P1616
25,2023-04-09,59000,Revisión general,700,25,P1717
